help
Oracle VirtualBox testing on ManjaroLinux 20.2.1 via the Phoronix Test Suite.

 ,,"Intel Core i5-9400F"
Processor,,Intel Core i5-9400F (4 Cores)
Motherboard,,Oracle VirtualBox v1.2
Chipset,,Intel 440FX 82441FX PMC
Memory,,8GB
Disk,,32GB VBOX HDD
Graphics,,llvmpipe
Audio,,Intel 82801AA AC 97 Audio
Network,,Intel 82540EM
OS,,ManjaroLinux 20.2.1
Kernel,,5.10.7-3-MANJARO (x86_64)
Desktop,,Xfce 4.16
Display Server,,X Server 1.20.10
Display Driver,,modesetting 1.20.10
OpenGL,,4.5 Mesa 20.3.4 (LLVM 11.0.1 256 bits)
Compiler,,GCC 10.2.0
File-System,,ext4
Screen Resolution,,1920x1080
System Layer,,Oracle VirtualBox

 ,,"Intel Core i5-9400F"
"SciMark - Computational Test: Composite (Mflops)",HIB,550.33

